titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,id
All The Young Dudes,Mott The Hoople,1972,1513.0,,1445.0,1916.0,1928.0,1796.0,1997.0,1980.0,,1972.0,,,,,,,,,,,0WNGPpmWqzPnk0psUhJ3SX
Baby I'm A Want You,Bread,1971,1514.0,1757.0,,,,,,,,,,,,,,,,,,,7IX2e7pEShera9T1QIMvi7
Bamboleo,Gipsy Kings,1988,1515.0,1655.0,,,,,,,,,,,,,,,,,,,4EveU9Zb50mjgi5avDNqlK
Barbara Ann,Beach Boys,1966,1516.0,1656.0,1610.0,1970.0,1648.0,1531.0,1662.0,1774.0,1507.0,1617.0,,1941.0,,,,,,,,,2KOt2JrCB720UxIbyzweQo
Classical Gas,Mason Williams,1968,1517.0,,1900.0,,,,,,,,,,,,,,,,,,48oT10cTda4pZUlYfqxlPR
Delta Lady,Joe Cocker,1969,1518.0,1708.0,,,,,,,,,,,,,,,,,,,0gHjMu0zgdBA0GcaA6B6x0
Every Time You Go Away,Paul Young,1985,1519.0,1374.0,1784.0,,,,,,,,,,,,,,,,,,05fHQeRbCSjKVS6z0WbQKJ
From The Underworld,The Herd,1967,1520.0,724.0,1463.0,1605.0,1708.0,1266.0,1447.0,,,,,,,,,,,,,,4HucoyobBw5My4Xs4OVOwc
Ik Heb Zo Waanzinnig Gedroomd,Kinderen voor Kinderen,1981,1521.0,,1827.0,1614.0,1749.0,1633.0,1691.0,1299.0,1640.0,1557.0,1966.0,,,,,,,,,,4A7tc8ZBC1fsJaNErPnWCo
Just Fancy,Ro-d-ys,1967,1522.0,,,,,,,,,,,,,,,,,,,,2ImU7rI0BrZcHtizZ6qUG8
I Love Rock 'N' Roll,Joan Jett & The Blackhearts,1982,1523.0,1607.0,1129.0,1730.0,1675.0,1731.0,,,,,,,,1709.0,1961.0,1993.0,,,,,2Cdvbe2G4hZsnhNMKyGrie
I'm Gonna Knock On Your Door,Eddie Hodges,1961,1524.0,1671.0,1959.0,1613.0,1883.0,,,,,,,,,,,,,,,,6C5IC9bZ0q6mI16Hay23gB
I've Been Thinking About You,Londonbeat,1990,1525.0,1499.0,1948.0,1788.0,1759.0,1950.0,,,,,,,,,,,,,,,6bnKiqeXIQjOpZZSy0qTg7
It Started With A Kiss,Hot Chocolate,1982,1526.0,,1690.0,1280.0,1993.0,1522.0,1824.0,1552.0,1947.0,1692.0,,1867.0,,,,,,,,,0IHbliyeCC0fwrCx6WfGSp
Loverboy,Billy Ocean,1985,1527.0,,,,,,,,,,,,,,,,,,,,1rG2EZw9GJuBPleLhS64sn
Hello Goodbye,Beatles,1967,1528.0,1169.0,1357.0,1422.0,1317.0,1194.0,1359.0,1183.0,996.0,1169.0,1031.0,944.0,1031.0,1415.0,1613.0,,,,,1982.0,0vZ97gHhemKm6c64hTfJNA
Mighty Quinn,Manfred Mann,1968,1529.0,1390.0,1769.0,1532.0,,1842.0,,,,,,,,,,,,,,,0cWPr2PvYTQERq88b4jGXw
Hi Hi Hi,Paul McCartney & Wings,1972,1530.0,1377.0,1204.0,1927.0,,,,,,,,,,,,,,,,,6ccHuWQAQhdZ0JCFlTHvNM
Get Down,Gilbert O'Sullivan,1973,1531.0,,970.0,,,,,,,,,,,,,,,,,,4GjIIjBM20NhaBrvQKkQ5I
On The Sunny Side Of The Street,Tommy Dorsey & Sentimentalists,1944,1532.0,,,,,,,,,,,,,,,,,,,,3XDharvL8vEyxdQwOQKmww
Star,"Earth, Wind & Fire",1979,1533.0,,1410.0,1696.0,1824.0,,,,1889.0,,,,,,,,,,,,4e0Yl8XceW6RLi8zZpL1qW
Rainy Day Women # 12 & 35,Bob Dylan,1966,1534.0,,,1476.0,1421.0,1132.0,1769.0,1802.0,1568.0,1597.0,,,,,,,,,,,7BkAlVpGwXXl3sYNn5OoJ7
Never Gonna Give You Up,Rick Astley,1987,1535.0,1683.0,1654.0,638.0,,,,,,,723.0,1684.0,1074.0,1272.0,1534.0,1103.0,825.0,1036.0,847.0,824.0,7GhIk7Il098yCjg4BQjzvb
Reminiscing,Little River Band,1978,1536.0,,1753.0,,,,,,,,,,,,,,,,,,34D6mvDTAPypm92EPs8Rxa
Sincerita,Riccardo Cocciante,1984,1537.0,,1840.0,1993.0,,,,,,,,,,,,,,,,,7jXBZJFMkrunrKMCnoknEs
Rose Garden,Lynn Anderson,1971,1538.0,1838.0,1832.0,228.0,1974.0,,,,,,,,,,,,,,,,5YwgJ6lpZ3SiAQwBEpjqey
Sealed With A Kiss,Brian Hyland,1962,1539.0,,,1544.0,1474.0,1943.0,1768.0,,1897.0,1956.0,,,,,,,,,,,6oM4ryXpuZmbFfBv2sEe7v
Spooky's Day Off,Swinging Soul Machine,1969,1540.0,1397.0,1245.0,1865.0,1769.0,,,,,,,,,,,,,,,,1FnWEh3P1Ap6k3yvR40pj3
My Old Piano,Diana Ross,1980,1541.0,1944.0,,,1685.0,1830.0,,,,,,,,,,,,,,,4d4yVNYVwxrNsy5ukJ4QTJ
The Show,The Dizzy Man's Band,1973,1542.0,1354.0,1228.0,1697.0,1772.0,1567.0,1815.0,1697.0,1927.0,1700.0,,,,,,,,,,,3HxJQLoZ8h45dBjX7EkJ5v
The Way To Your Heart,Soulsister,1988,1543.0,,,,,,,,,,,,,,,,,,,,7h7yYTlVSHY3Fk7mSb0cDZ
The Israelites,Desmond Dekker,1969,1544.0,1696.0,1859.0,1959.0,,,,,,,,,,,,,,,,,1sd6f5ipZ80LBUF569dhxY
Video Killed The Radio Star,Buggles,1979,1545.0,807.0,1888.0,1265.0,1535.0,1581.0,1862.0,,,,,,,,,,,,,,6t1FIJlZWTQfIZhsGjaulM
Wishing On A Star,Rose Royce,1978,1546.0,,1931.0,,,,,,,,,,,,,,,,,,0u2CGItUO2jYEiFaXD7n5S
My Destiny,Lionel Richie,1992,1547.0,,,,,,,,,,,,,,,,,,,,2c2QM7x721KtNva4g77PIT
Tutti Frutti,Little Richard,1957,1548.0,1750.0,1947.0,,,1998.0,,,,,,,,,,,,,,,2iXcvnD3d1gfLBum0cE5Eg
Voici Les Cles,Gerard Lenorman,1977,1549.0,,1771.0,1822.0,,,1808.0,1733.0,,,,,,,,,,,,,1nNOGEeC5iG6dIbaMjpsWf
A World Of Our Own,Seekers ,1965,1550.0,,,1678.0,,,,,,,,,,,,,,,,,1DVTwlo4nWm41i91rN4xqh
The Day That Curly Billy Show Down Crazy Sam McGee,Hollies,1973,1551.0,936.0,869.0,989.0,1110.0,1298.0,1246.0,1222.0,,1589.0,1193.0,1470.0,1880.0,,,1972.0,,,,,3dwvT66ZwtwlIZl3IISe6X
Wouldn't It Be Good,Nik Kershaw,1984,1552.0,1198.0,1333.0,1620.0,,,,,,,,,,,,,,,,,7H8p7PDlM9d5xEksYwj5YQ
Telstar,Tornados,1962,1553.0,1865.0,1431.0,1604.0,1607.0,1908.0,1994.0,,,,,,,,,,,,,,2rtaHm5SkgFzVa5Gr8oTW6
Are You Sure,Allisons,1961,1554.0,1309.0,1582.0,1322.0,1330.0,,,,,,,,,,,,,,,,7JdkZJVAORavNadqFyeGVC
Bus Stop,Hollies,1966,1555.0,1131.0,1293.0,1324.0,1480.0,1552.0,1357.0,1165.0,1543.0,1365.0,1315.0,1484.0,1767.0,1987.0,1699.0,1988.0,,,,,3Jw2A9SC8zhntx4ON9VabX
Do That To Me One More Time,Captain & Tennille,1980,1556.0,,1919.0,,,,,,,,,,,,,,,,,,0m4jVVZrsv0bLkAr1uM6UG
Don't Worry Be Happy,Bobby McFerrin,1988,1557.0,,1909.0,,,,,,,,,,,,,,,,,,4hObp5bmIJ3PP3cKA9K9GY
Kiss,Tom Jones & Art Of Noise,1988,1558.0,,,,,,,,,,,,,,,,,,,,1l0HUsTL45hlR3IO3wHrtC
Kissing In The Back Row Of The Movies,The Drifters,1974,1559.0,1843.0,,,1949.0,,,,,,,,,,,,,,,,25pPVtaO3QBkqcANIo5FMF
Lydia,Dean Friedman,1979,1560.0,,1838.0,1787.0,,1835.0,,,,,,,,,,,,,,,0AmO4qw6lUSpcXbQBpm0K9
Geh Nicht In Die Stadt (Heut' Nacht),Juliane Werding,1984,1561.0,,1611.0,,,,,,,,,,,,,,,,,,0Goo2xaySkVNfdw1t1LFOE
I've Got The Music In Me,Kiki Dee,1974,1562.0,1381.0,1778.0,1032.0,1539.0,1488.0,1836.0,1912.0,1831.0,1681.0,,,,,,,,,,,2dpGNisIy8LNjpEGzDdtft
Perfect,Fairground Attraction,1988,1563.0,,,1493.0,,,,,,,,,,,,,,,,,2X90tKH59XlulLjbT4vci1
Robert De Niro Is Waiting,Bananarama,1984,1564.0,,1799.0,1847.0,,,,,,,,,,,,,,,,,
I Can't Stop Loving You,Ray Charles,1962,1565.0,1669.0,1787.0,1934.0,1357.0,1352.0,1453.0,1238.0,1258.0,1334.0,1636.0,1721.0,1914.0,1984.0,,,,,,,79nJj5dMyTsUzKvN5jUXsJ
Les Champs Elysées,Joe Dassin,1969,1566.0,,1737.0,,,,,,,,,,,,,,,,,,4VWbPQUPvLes814r6T11Jz
Lovely Day,Bill Withers,1978,1567.0,,1385.0,1535.0,1722.0,1523.0,1800.0,1856.0,1781.0,1712.0,,1823.0,1634.0,1594.0,1387.0,1549.0,1308.0,1251.0,1293.0,1562.0,0bRXwKfigvpKZUurwqAlEh
Pour Un Flirt,Michel Delpech,1971,1568.0,1686.0,,,,,1993.0,1979.0,,,,,,,,,,,,,10TsFYqusA7KKiUC1IhPDw
I Won't Last A Day Without You,Carpenters,1974,1569.0,,,,,,,,,,,,,,,,,,,,42CX3VhPsCG75BFp07r9Vj
Pretend,Alvin Stardust,1981,1570.0,1461.0,1285.0,,,,,,,,,,,,,,,,,,7dLHxSTwwhIg7CVf7TvTd1
Red River Rock,Johnny & the Hurricanes,1960,1571.0,1856.0,,222.0,1362.0,1834.0,,,,,,,,,,,,,,,643QHUvRNchbEDfcDvMILB
Ik Wil Jou,Polle Eduard,1979,1572.0,,1619.0,1966.0,,,,,1984.0,,,,,,,,,,,,1G1PfjlBwIDzuGYIrWY0FU
Marina,Rocco Granata,1959,1573.0,,,1891.0,1624.0,,,,,,,,,,,,,,,,53sXMlEzSAL5HYl211Wuu6
How Many Times,Lori Spee,1982,1574.0,,1703.0,,1918.0,,1991.0,1925.0,,,,,,,,,,,,,5VkAKKliyRHqeEL3N2vlJq
Someone Loves You Honey,June Lodge & Mohammed,1982,1575.0,1904.0,1821.0,,,,,,,,,,,,,,,,,,1ddfBve2WRkzF1ALYh1PVR
Take Her Home,Ro-d-ys,1967,1576.0,,1807.0,1829.0,,1920.0,1914.0,,1623.0,1989.0,,,,,,,,,,,77bCb7G3axOx5k8mmyzN5c
Rosie,Joan Armatrading,1980,1577.0,,1685.0,1903.0,1248.0,1592.0,1955.0,1971.0,,1922.0,1894.0,1969.0,,1932.0,1994.0,,,,,,4yMdCBVURkXYYNtY53H1FY
Starmaker,Kids from Fame,1983,1578.0,,1965.0,,,,,,,,,,,,,,,,,,2n2GVICbUAtQPS1css9kwO
Sittin' On A Fence,Twice as much,1966,1579.0,1472.0,,1875.0,,1492.0,1992.0,,1838.0,1996.0,,,,,,,,,,,55SvCnzVERLDh8H8hUMzwm
True Love Ways,Peter & Gordon,1965,1580.0,,,1415.0,,,,,,,,,,,,,,,,,2fGe1krTxovW7xsgiaHkrN
Young Girl,Gary Puckett & Union Gap ,1968,1581.0,1648.0,1977.0,1670.0,,,,,,,,,,,,,,,,,3F64pIPqvcujnwvcVLVZ64
She Likes Weeds,Tee Set,1970,1582.0,1689.0,,1643.0,1524.0,685.0,1995.0,1252.0,,1647.0,1308.0,1555.0,,,,,,,,,6n8kzxmP3AcVNe3USIC8dQ
Sundown,Gordon Lightfoot,1974,1583.0,,1321.0,1650.0,,1672.0,,1930.0,,,,,,,,,,,,,0SjnBEHZVXgCKvOrpvzL2k
The Hustle,Van McCoy,1975,1584.0,1636.0,,,1939.0,,,,,,,,,,,,,,,,4wzUmBC4ZrF92IE1hPCTJp
Yeke Yeke,Mory Kante,1988,1585.0,,,1801.0,,,,,,,,,,,,,,,,,1S1fj9iAliPPpzVSf50dbn
St. Elmo's Fire,John Parr,1985,1586.0,,1326.0,,,,,,,,,,,,,,,,,,1A2PWRltFrX8iB8IP3CUgo
Super Freak,Rick James,1981,1587.0,,,,,,,,,,,,,,,,,,,,2dCmGcEOQrMQhMMS8Vj7Ca
The Twist,Chubby Checker,1962,1588.0,1748.0,1953.0,,,,,,,,,,,,,,,,,,3ohLnESFgYACPMCkoTOzqE
Two Hearts,Phil Collins,1988,1589.0,,1767.0,1669.0,1600.0,1726.0,1834.0,1846.0,,1932.0,,,,,,,,,,,0vDSWxRlWN0LWsSQdGIPuE
Can I Get There By Candlelight,David McWilliams,1969,1590.0,,,,,,,,,,,,,,,,,,,,4a8CRBERgfY7iQlOJ6rp8T
Chain Reaction,Diana Ross,1985,1591.0,,,,,,,,,,,,,,,,,,,,3N3UmpRUvoZQrUREMen54e
C'mon Everybody,Eddie Cochran,1958,1592.0,,,1967.0,1728.0,,,,,,,,,,,,,,,,7ItZM6DMZE2m1X7yIaRxjq
Border Song,Elton John,1970,1593.0,1987.0,,,,,,,,,,,,,,,,,,,4gpxT82T8ZzRWknBH30Zey
Behind A Painted Smile,The Isley Brothers,1969,1594.0,1758.0,,,,,,,,,,,,,,,,,,,2O8TCol1NH6WolLH8119cY
Bette Davis Eyes,Kim Carnes,1981,1595.0,1657.0,1899.0,1862.0,,,,,,,,,,,,,,,,,0odIT9B9BvOCnXfS0e4lB5
Ademnood,"Linda, Roos & Jessica",1995,1596.0,,,,,,,,,,,,,,,,,,,,4S2MVXpfQhsYHo0uTZSFCk
Baby Please Don't Go,Them,1965,1597.0,,,1773.0,1444.0,1809.0,,1943.0,,,,,,,,,,,,,5WUgOOaTk00PnksDekcgcg
Crying time,Ray Charles,1966,1598.0,1824.0,,,,,,,,,,,,,,,,,,,6Oq6Ikkkutg7DWqZdJ5pBm
Having My Baby,Paul Anka,1974,1599.0,,1558.0,,,,,,,,,,,,,,,,,,5PuAFxKmqG72uKyoo11zpQ
Lovely Lovely,Chubby Checker,1965,1600.0,1618.0,,,,,,,,,,,,,,,,,,,5cbVOpAECzRwlkFgd1wypR
I Threw It All Away,Bob Dylan,1969,1601.0,,,,,,,,,,,,,,,,,,,,2HXnjMxrO4QccqE3Grwmd0
I Get Around,Beach Boys,1964,1602.0,1076.0,1421.0,1753.0,1686.0,1564.0,1843.0,1986.0,,1923.0,1995.0,1920.0,1698.0,,,,,,,,3v9xlH6BpmRbqL7hgNJhfT
Faithful,"Marvin, Welch & Farrar",1971,1603.0,,1772.0,1334.0,1532.0,1400.0,1702.0,,,,,,,,,,,,,,0TW7WwrrRcog5VkXk9105l
Gimme Hope Jo'anna,Eddy Grant,1988,1604.0,1602.0,1768.0,,,,,,,,,,,,,,,,,,6295Cr4SGdjJgnJ6DLtZFn
Gloria,Umberto Tozzi,1979,1605.0,,,,,,,,,,,,,,,,,,,,6jlsVLKMRfHoDJbo5qMQ71
Days Of Pearly Spencer,David McWilliams,1967,1606.0,1593.0,1366.0,1778.0,1697.0,1878.0,1930.0,,,,,,,,,,,,,,0Ed5vZvoQEWEAWtthNHrzv
Een Vrouw Zoals Jij,Hans de Booij,1983,1607.0,,1086.0,1346.0,1508.0,1615.0,1754.0,1705.0,,1859.0,,1997.0,,,,,,,,,0J51wQFp6SlrjzscsSxgM5
Don't You Worry 'Bout A Thing,Incognito,1992,1608.0,,,,,,,,,,,,,,,,,,,,7KDCuqrHJ66MGogGrdFj4e
Happy Birthday,Stevie Wonder,1981,1609.0,,,,,,,,,,,,,,,,,,,,01lewSOj9ZaXplh9TpNKL4
Harmony,Ray Conniff Singers,1973,1610.0,1936.0,1971.0,,,,,,,,,,,,,,,,,,0ELRL4uQ72zFdkaKAKAKAT
I'll Meet You At Midnight,Smokie,1976,1611.0,,,,,,,,,,,,,,,,,,,,1hZl9Pd4MlBGqjbeQLdOuG
If You Can't Give Me Love,Suzi Quatro,1978,1612.0,1329.0,1646.0,1487.0,1818.0,1974.0,1989.0,,,,,,,,,,,,,,36p4U6wdEhX9UGmn5hT1TJ
Heartbreaker,Dionne Warwick,1982,1613.0,1496.0,1915.0,1860.0,1847.0,1735.0,1928.0,,,,,,,,,,,,,,3iMLRCGHLQ135LtMjKLkO8
Kiss On My List,Hall & Oates,1981,1614.0,,,,,,,,,,,,,,,,,,,,7cDzJyC95jtGO9zAeZsWOg
It's Too Late,Carole King,1971,1615.0,,1301.0,1279.0,1503.0,1767.0,1650.0,1753.0,1779.0,1669.0,1782.0,1673.0,1824.0,1695.0,1921.0,1967.0,,,,,12q3V8ShACq2PSWINMc2rC
I Should Have Known Better,Jim Diamond,1984,1616.0,1609.0,1986.0,,,,,,,,,,,,,,,,,,5sxA9HV02XL3789HnLdldo
Mother How Are You Today,Maywood,1980,1617.0,,,,,,,,,,,,,,,,,,,,2C6EX79xTwbGNH8VwReWaO
Needles And Pins,The Searchers,1964,1618.0,1515.0,1542.0,,1466.0,1520.0,,,,,,,,,,,,,,,0zABw1PtGYHsU4VDpDZsra
Howzat,Sherbet,1976,1619.0,,1845.0,1724.0,,,,,,,,,,,,,,,,,1rvvzcLXlcWhJHOzjoTrOV
Mendocino,Sir Douglas Quintet,1969,1620.0,1511.0,,1940.0,,,,,,,,,,,,,,,,,7aDVafD8WG5L018NBYH4CJ
Katinka,Spelbrekers,1962,1621.0,,1958.0,,1801.0,,,,,,,,,,,,,,,,6vljr41C784IaL4h2gkx8A
Een Roosje M'n Roosje,Conny Vandenbos,1974,1622.0,1688.0,1746.0,,,1362.0,1535.0,1888.0,1457.0,1736.0,,,,,,,,,,,7CA0Hxj5Gk3fGkHnavxgX2
Thank You For Being A Friend,Andrew Gold,1978,1623.0,,,1703.0,,,,,,,,,,,,,,,,,5yNUgA66PbcPIJPOU2eBwR
These Boots Are Made For Walking,Nancy Sinatra,1966,1624.0,1639.0,1903.0,,1870.0,1380.0,1366.0,1713.0,1530.0,1615.0,1996.0,1667.0,1646.0,1529.0,1823.0,1801.0,,1966.0,,1912.0,1tH8ycIrUoZt94f82MrVL5
No More Fear Of Flying,Gary Brooker,1979,1625.0,,1520.0,1101.0,,,,,,,,,,,,,,,,,6750DwAukSaekyvlkbGqIC
Radio,Dolly Dots,1979,1626.0,1737.0,,,,,,,,,,,,,,,,,,,4plW1fRx4nsxHuXyEt0Kss
Shine On,LTD,1981,1627.0,,,,,,,,,,,,,,,,,,,,65E003YDvOfow75UKALZZG
Summer Nights,Marianne Faithfull,1965,1628.0,1522.0,,,,1985.0,,,,,,,,,,,,,,,4g6BbL6wLsTD1iQZXGc5fX
Sure He's A Cat,Cats,1967,1629.0,,,,1945.0,1710.0,1794.0,1985.0,,1987.0,1907.0,1904.0,,,,,,,,,3JVwMAzCzp6pOFFKkNGOoE
True Love That's A Wonder,Sandy Coast,1971,1630.0,1403.0,1052.0,1452.0,1555.0,1473.0,1563.0,1546.0,1867.0,1590.0,1287.0,1510.0,1744.0,1956.0,,1752.0,,,1529.0,,3KUgZRcIsozRPbHkZ4CWVL
Windforce 11,Nadieh,1987,1631.0,1127.0,1227.0,1880.0,1677.0,1613.0,1806.0,1929.0,1743.0,1708.0,1785.0,1943.0,1647.0,1896.0,,,,,,,6E8XhENY1znPJInFJOwZ3J
Zijn Het Je Ogen,Koos Alberts,1988,1632.0,,,,,,,,,,,,,,,,,,,,3FUp7CgX1JwoSbkz1UIcVp
Only Love,Nana Mouskouri,1985,1633.0,1221.0,1696.0,,,,,,,,,,,,,,,,,,3MloP5bPLvnYIQrqY4M6P1
The Power Of Love,Huey Lewis & the News,1985,1634.0,1460.0,1780.0,1495.0,1952.0,1961.0,,,,,,,,,,,,,,,2olVm1lHicpveMAo4AUDRB
Que Sera Mi Vida,Gibson Brothers,1980,1635.0,,,,,,,,,,,,,,,,,,,,0kfzWBs3VOMaI0T5yZ0T8W
Sjakie Van De Hoek,Conny Vandenbos,1975,1636.0,,1362.0,1803.0,1725.0,1047.0,1291.0,1662.0,1532.0,1480.0,,,,,,,,,,,3SW3pgM2wtEzI3LqFHpxb9
Stay With Me,Faces,1972,1637.0,1226.0,1666.0,1994.0,1877.0,1776.0,1960.0,,,,,,,,,,,,,,7fLTytvnvxy653VWxflTRf
Walking Back To Happiness,Helen Shapiro,1962,1638.0,1642.0,,,1296.0,,,1824.0,,,,,,,,,,,,,5tzOCHtbC0Rnuh4UKm7d8S
Gin House Blues,Amen Corner,1967,1639.0,856.0,,,,,1514.0,,1966.0,,,,,,,,,,,,1TYa6y8trul0cHZNIRxbw3
I Can Help,Billy Swan,1974,1640.0,1324.0,1286.0,1657.0,,1978.0,,,,,,,,,,,,,,,4oW1lGOw5Q5OLvoJv92qoE
Cara Mia,Jay & The Americans,1965,1641.0,1923.0,1574.0,,,,,,,,,,,,,,,,,,0Arrnl9EB7LtzPISpNBQQf
Clouds Across The Moon,Rah Band,1985,1642.0,1705.0,1750.0,1513.0,,,,,,,,,,,,,,,,,1GT9jsKDk6osfnR5lWIUMD
Do Wah Diddy Diddy,Manfred Mann,1964,1643.0,1929.0,1966.0,1792.0,,,,,,,,,,,,,,,,,7ko2240lyr2DngGin6Fx37
Hippy Hippy Shake,Swinging Blue Jeans,1964,1644.0,,,,,,,,,,,,,,,,,,,,4LddAerqROEdlx1GF1bcVd
Also Sprach Zarathustra,Deodato,1973,1645.0,,,,,,,,,,,,,,,,,,,,10Zbcuxvlig5qUDmuGgEcL
Breakaway,Tracey Ullman,1983,1646.0,1658.0,1934.0,,,,,,,,,,,,,,,,,,6fU89TGvcpEzJ2rGKvk9Wx
Float On,Floaters,1977,1647.0,,,,,,,,,,,,,,,,,,,,4kxDa9niTJIyh89afKjpCR
Don Juan,Dave Dee Dozy Beaky Mick & Tich,1969,1648.0,1879.0,,1979.0,,,,,,,,,,,,,,,,,3meApEUSGhb8xBx1lgMSBh
How Do You Like Your Eggs In The Morning,Dean Martin & Helen O'Connell,1951,1649.0,,1941.0,,,,,,,,,,,,,,,,,,4n5JzgMx7QOwDock7AtdId
Doris Day,Doe Maar,1982,1650.0,783.0,,,,,,,,,,,,,,,,,,,7MwhKjdXfoTT3nuPoOsOhd
De Doodgewoonste Dingen,Passepartout,1977,1651.0,,,,,,,,,,,,,,,,,,,,7qyQqbsw9uvtFfatoPa8jG
Don't Leave Me This Way ,Thelma Houston ,1977,1652.0,1596.0,,,,,,,,,,,,,,,,,,,0M4IiNtcu6Ed0F1rY1Imzp
If I Stay Too Long,Big Wheel,1969,1653.0,,,1889.0,,,,,,,,,,,,,,,,,1LPekcMuZzdzA4JLY7bBAz
Nothing's Gonna Change My Love For You,Glenn Medeiros,1988,1654.0,1622.0,,,,,,,,,,,,,,,,,,,7pUJSr5pgnQjCTc7PfiUVA
Longer,Dan Fogelberg,1980,1655.0,,1082.0,1418.0,1864.0,1892.0,,,,,,,,,,,,,,,56ilrbKJF2bph5W6eZaM5E
No Dogs Allowed,Jose Feliciano,1970,1656.0,,,,,,,,,,,,,,,,,,,,1Bqli3IlE3o82jmFyEePXB
If You Go,Barry & Eileen,1975,1657.0,1557.0,1602.0,1684.0,1898.0,1714.0,1751.0,,1828.0,1934.0,,,,,,,,,,,4mJNgnUTfWkU2IGlrjwING
Mexico,Les Humphries Singers,1972,1658.0,1338.0,1169.0,1165.0,1103.0,1332.0,1313.0,1766.0,1717.0,1488.0,,,,,,,,,,,5cqqQMX4HGNpYwxbQYvkw3
Never Can Say Goodbye,Gloria Gaynor,1975,1659.0,1896.0,,1958.0,,,,,,,,,,,,,,,,,0ku3YaqOmd9p1MY81CBNKj
I'll Be There For You,Solid Harmonie,1997,1660.0,1774.0,,,,,,,,,,,,,,,,,,,4cgeOQBQzS7x5Bvd8hFO95
I'm Specialized In You,Time Bandits,1983,1661.0,1610.0,1643.0,1791.0,1790.0,,,,,,,,,,,,,,,,2ZFePG6kPGYaKXj3aMzbXV
La Poupee Qui Fait Non,Michel Polnareff,1966,1662.0,1179.0,1942.0,1884.0,,,,,,,,,,,,,,,,,245la2fLeLCOpBWDjgE8rj
Love Is In The Air,John Paul Young,1977,1663.0,1848.0,1935.0,1950.0,,1966.0,,,,,,,,,,,,,,,3c4OULLWwgRqBfA2dJtRuY
Pittsburg In The Rain,Leon de Graaff,1971,1664.0,,1819.0,,,,,,,,,,,,,,,,,,3HVjyzEPZYrPGdHeWbJ5DG
Take It Or Leave It,The Searchers,1966,1665.0,1528.0,1751.0,1735.0,1514.0,,,,,,,,,,,,,,,,4XlIoFeNG3DYSOdVTQog2F
The Windmills Of Your Mind,Jose Feliciano,1969,1666.0,,,1786.0,,1682.0,1647.0,1482.0,,1946.0,,,,,,,,,,,0vSQ7rUXjS0NfPgq248O6S
Thought You Were On My Side,Cock Robin,1986,1667.0,,,,,1794.0,,,,,,,,,,,,,,,0Z2sSR7ioMV12ZBabPTLuc
Rich Girl,Hall & Oates,1977,1668.0,,,444.0,,,,,,,,,,,,,,,,,0qRR9d89hIS0MHRkQ0ejxX
With A Girl Like You,The Troggs,1966,1669.0,1809.0,1658.0,1943.0,1849.0,,,,,,,,,,,,,,,,3VGBUfN2EOVHJ4Y92yIh2f
Simple Song Of Freedom,Tim Hardin,1970,1670.0,,1635.0,,,,1934.0,,1951.0,,,,,,,,,,,,6qsngfhruE792s577j5VwN
Something,Shirley Bassey,1970,1671.0,,,,1917.0,,,,,,,,,,,,,,,,7KarW18mqK87nTQc4QrVvk
Take The A train,Duke Ellington,1941,1672.0,,1679.0,,,,,,,,,,,,,,,,,,6KBsivP3Of4z2x6uNMAyE3
They Shoot Horses Don't They,Racing Cars,1977,1673.0,,1902.0,1946.0,,,,,,,,,,,,,,,,,5aTLIaSTrDIMnJb9UFS53t
This Wheel's On Fire,Julie Driscoll & The Brian Auger Trinity,1968,1674.0,1697.0,1910.0,,,,,,,,,,,,,,,,,,5zLd2ijYHcg1YS6HkPpTCF
Tom Dooley,Kingston Trio ,1959,1675.0,,1945.0,1721.0,1719.0,1909.0,1634.0,,,,,,,,,,,,,,2qLxtO0iaFGI9x19vU3bDI
Try A Little Love,Oscar Harris,1970,1676.0,,,,,,,,,,,,,,,,,,,,4AywSfRlRC2IDPWVSrp2bM
What The World Needs Now,Dionne Warwick,1967,1677.0,1751.0,,,,,,,,,,,,,,,,,,,6QhJngmKqelOcCc3bUiKYY
World Of Birds,Q65,1967,1678.0,,,1437.0,1471.0,,1866.0,,,,,,,,,,,,,,12fQKL9pufYI5qMQMOjUcE
Play It Cool,Freiheit,1988,1679.0,1626.0,1521.0,,,,,,,,,,,,,,,,,,
Surrender,Jon Anderson,1982,1680.0,1353.0,1733.0,1542.0,,,,,,,,,,,,,,,,,4FruXtAuUaMZmX6ioHJKhR
Sussudio,Phil Collins,1985,1681.0,,1349.0,1645.0,1640.0,1807.0,1644.0,1820.0,,1904.0,,,,,,,,,,,4qM461TqtpnP4GLRIXwEnW
Dance On Little Girl,Paul Anka,1961,1682.0,,,,,,,,,,,,,,,,,,,,7hicCfvTRlRjkrHYim5Gp4
Goodbye My Love,Searchers,1965,1683.0,1711.0,,1625.0,1890.0,1941.0,,,,,,,,,,,,,,,0ISi0rFiU16DwyRsb5NUNL
Cocaine In My Brain,Dillinger,1977,1684.0,,1530.0,1925.0,,,,,,,,,,,,,,,,,2Ykl0Rx2vw6rRBkTnrxOC7
City Of New Orleans,Arlo Guthrie,1972,1685.0,,,,,,,,,,,,,,,,,,,,0P6TTXbSLGrSoTNMz5kvB7
