titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,title,artist,track_id,artist_id,album_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Whole Lotta Rosie,AC/DC,1978,53.0,29.0,15.0,13.0,19.0,17.0,21.0,33.0,12.0,18.0,17.0,28.0,34.0,45.0,64.0,43.0,53.0,73.0,59.0,73.0,81.0,Whole Lotta Rosie,AC/DC,spotify:track:4wYq5wugZDzQiMZQYG4wVB,spotify:artist:711MCceyCBcFnzjGY4Q7Un,spotify:album:3JwFNl80WWeXPiKEjIFbqa,0.0014,0.29,0.839,0.476,0.0954,-4.459,0.078,158.972,0.42,63.0
Purple Rain,Prince & Revolution,1984,54.0,90.0,160.0,120.0,160.0,104.0,152.0,126.0,148.0,132.0,169.0,79.0,80.0,74.0,77.0,71.0,62.0,13.0,18.0,25.0,24.0,Purple Rain,Prince,spotify:track:54X78diSLoUDI3joC2bjMz,spotify:artist:5a2EaR3hamoenG9rDuVn8j,spotify:album:7nXJ5k4XgRj5OLg9m8V3zc,0.0353,0.367,0.452,0.00228,0.689,-10.422,0.0307,113.066,0.189,74.0
(Everything I Do) I Do It For You,Bryan Adams,1991,55.0,69.0,63.0,131.0,128.0,153.0,220.0,208.0,229.0,166.0,483.0,459.0,469.0,197.0,581.0,660.0,593.0,784.0,787.0,703.0,685.0,(Everything I Do) I Do It For You,Bryan Adams,spotify:track:6eBK3edMW7bEzecF1eCezc,spotify:artist:3Z02hBLubJxuFJfhacLSDc,spotify:album:061uAXmheZOILmf2rr3tTn,0.0775,0.526,0.365,1.35e-05,0.0618,-12.605,0.028,131.253,0.253,65.0
I Put A Spell On You,Creedence Clearwater Revival,1972,56.0,36.0,38.0,54.0,53.0,49.0,56.0,60.0,61.0,54.0,83.0,53.0,77.0,132.0,152.0,143.0,152.0,148.0,157.0,190.0,187.0,I Put A Spell On You,Creedence Clearwater Revival,spotify:track:4SDywo3ykB2PEthjXvo1UP,spotify:artist:3IYUhFvPQItj6xySrBmZkd,spotify:album:7oIftk0P8cViwNpNEdCYl2,0.00471,0.391,0.732,0.121,0.0979,-8.188,0.0295,100.354,0.622,58.0
Private Investigations,Dire Straits,1982,57.0,19.0,14.0,7.0,17.0,24.0,29.0,31.0,35.0,25.0,37.0,36.0,47.0,49.0,66.0,70.0,67.0,67.0,69.0,80.0,87.0,Private Investigations,Dire Straits,spotify:track:0SqUwlygrVkMWkplNvvld1,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,spotify:album:3Iz3o8owPasr8PKUSZPqD5,0.699,0.551,0.101,0.542,0.0811,-20.104,0.0309,84.407,0.0691,37.0
Pride (In The Name Of Love),U2,1984,58.0,47.0,130.0,126.0,182.0,125.0,140.0,137.0,171.0,135.0,217.0,250.0,253.0,239.0,283.0,347.0,294.0,362.0,419.0,258.0,231.0,Pride (In The Name Of Love) - Remastered 2009,U2,spotify:track:3dh2LlmeMqKJbzn2WUgt3d,spotify:artist:51Blml2LZPmy7TTiAg47vQ,spotify:album:3FFosIE1A9HGRrinKTcBQ3,0.00135,0.458,0.843,0.000296,0.778,-7.201,0.0316,105.701,0.713,58.0
Space Oddity,David Bowie,1969,59.0,75.0,144.0,104.0,135.0,78.0,191.0,205.0,278.0,156.0,156.0,185.0,202.0,205.0,161.0,130.0,139.0,38.0,76.0,81.0,92.0,Space Oddity - 2015 Remaster,David Bowie,spotify:track:72Z17vmmeQKAg8bptWvpVG,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,spotify:album:1ay9Z4R5ZYI2TY7WiDhNYQ,0.0748,0.299,0.443,0.000138,0.177,-12.621,0.0346,139.539,0.434,71.0
Light My Fire,The Doors,1967,60.0,99.0,129.0,113.0,96.0,126.0,157.0,166.0,218.0,143.0,201.0,222.0,203.0,196.0,229.0,289.0,357.0,377.0,404.0,529.0,539.0,Light My Fire,The Doors,spotify:track:5uvosCdMlFdTXhoazkTI5R,spotify:artist:22WZ7M8sxp5THdruNY3gXt,spotify:album:1jWmEhn3ggaL6isoyLfwBn,0.369,0.413,0.725,2.16e-05,0.0905,-5.787,0.0324,124.618,0.44,70.0
Sebastian,Cockney Rebel,1973,61.0,84.0,49.0,76.0,90.0,92.0,116.0,146.0,151.0,120.0,191.0,172.0,170.0,244.0,334.0,377.0,414.0,495.0,566.0,784.0,768.0,Sebastian - 2012 Remaster,Steve Harley & Cockney Rebel,spotify:track:16889jRQ2uzOeDSHaMRLIw,spotify:artist:6EL5GD53kaaVgJCHgdtdLz,spotify:album:2dQ3M0lHLraMpIjcNMKzk5,0.679,0.252,0.238,0.00357,0.0663,-14.212,0.0348,140.023,0.21,44.0
Dreadlock Holiday,﻿10cc,1978,62.0,61.0,43.0,45.0,41.0,52.0,59.0,61.0,37.0,47.0,113.0,303.0,91.0,214.0,298.0,192.0,285.0,261.0,223.0,528.0,,Dreadlock Holiday,10cc,spotify:track:1LOZMYF5s8qhW7Rv4w2gun,spotify:artist:6i6WlGzQtXtz7GcC5H5st5,spotify:album:3MecVG0PeBObAhjwEAczFG,0.541,0.837,0.38,0.00789,0.198,-13.341,0.064,104.995,0.892,65.0
Halo Of Flies,Alice Cooper,1973,63.0,24.0,19.0,21.0,35.0,39.0,57.0,78.0,56.0,51.0,91.0,85.0,109.0,167.0,191.0,209.0,253.0,288.0,268.0,452.0,535.0,Halo of Flies,Alice Cooper,spotify:track:26uVP8g7Uijo0zuN22De3x,spotify:artist:3EhbVgyfGd7HkpsagwL9GS,spotify:album:3DtfU669sCj0uKjeNdGq22,0.394,0.387,0.572,0.747,0.0851,-12.565,0.0483,121.796,0.399,44.0
Go Your Own Way,Fleetwood Mac,1977,64.0,67.0,73.0,71.0,69.0,79.0,77.0,94.0,102.0,85.0,63.0,67.0,71.0,81.0,41.0,30.0,40.0,43.0,33.0,42.0,43.0,Go Your Own Way - Fleetwood Mac Cover,Silverstein,spotify:track:6a8lrLzRrDIZrraH7qOnmb,spotify:artist:1Tsag5J854qxeOo2apszug,spotify:album:3XfCJPZ4WIWAR2EwDDF0vv,0.00987,0.444,0.94,3.54e-05,0.135,-3.113,0.085,163.976,0.319,18.0
Stil In Mij,Van Dik Hout,1994,65.0,70.0,85.0,49.0,38.0,35.0,53.0,50.0,58.0,48.0,59.0,51.0,52.0,92.0,95.0,91.0,86.0,93.0,95.0,130.0,105.0,Stil In Mij,Van Dik Hout,spotify:track:3xOiF0xnt47PgOwprICudF,spotify:artist:7t1YgV4PxSjBg9P8ZqE4Vo,spotify:album:74dehe0e0Thai6kw4u0Jrc,0.215,0.586,0.653,0.000555,0.133,-8.576,0.0315,99.454,0.388,57.0
Ne Me Quitte Pas,Jacques Brel,1965,66.0,195.0,134.0,133.0,101.0,113.0,86.0,82.0,88.0,90.0,94.0,72.0,118.0,130.0,93.0,150.0,156.0,174.0,217.0,278.0,,Ne me quitte pas,Jacques Brel,spotify:track:6IRA4KOVbtiGiTdYoEThJN,spotify:artist:4RN2vlFWepLa46qQIU2PHs,spotify:album:0PVjDkptaHbw2wrpsWupoV,0.821,0.416,0.236,0.00012,0.189,-10.962,0.0499,101.066,0.302,57.0
Wuthering Heights,Kate Bush,1978,67.0,77.0,96.0,95.0,116.0,93.0,99.0,119.0,111.0,102.0,101.0,102.0,132.0,144.0,164.0,117.0,128.0,118.0,120.0,126.0,140.0,Wuthering Heights,Kate Bush,spotify:track:5YSI1311X8t31PBjkBG4CZ,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL,spotify:album:5NKTuBLCYhN0OwqFiGdXd1,0.366,0.481,0.392,0.0452,0.124,-11.381,0.0312,124.572,0.52,67.0
Paranoid,Black Sabbath,1970,68.0,,79.0,52.0,42.0,58.0,96.0,124.0,105.0,80.0,112.0,114.0,103.0,88.0,71.0,104.0,123.0,113.0,111.0,133.0,135.0,Paranoid - 2016 Remaster,Black Sabbath,spotify:track:1Y373MqadDRtclJNdnUXVc,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,spotify:album:6r7LZXAVueS5DqdrvXJJK7,4.52e-05,0.415,0.658,0.000735,0.176,-12.051,0.0696,163.015,0.45,67.0
Mr. Blue Sky,Electric Light Orchestra,1978,69.0,59.0,42.0,68.0,80.0,90.0,73.0,84.0,112.0,81.0,85.0,88.0,92.0,115.0,85.0,90.0,58.0,79.0,55.0,51.0,62.0,Mr. Blue Sky,Electric Light Orchestra,spotify:track:2RlgNHKcydI9sayD2Df2xp,spotify:artist:7jefIIksOi1EazgRTfW2Pk,spotify:album:3usnShwygMXVZB4IV5dwnU,0.652,0.388,0.338,3.72e-06,0.248,-10.054,0.0328,177.784,0.477,78.0
Heroes,David Bowie,1977,70.0,62.0,77.0,63.0,71.0,99.0,137.0,125.0,130.0,112.0,123.0,112.0,145.0,119.0,79.0,34.0,60.0,7.0,11.0,17.0,,Heroes - 2017 Remaster,David Bowie,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,spotify:album:4I5zzKYd2SKDgZ9DRf5LVk,0.000671,0.49,0.758,0.484,0.092,-6.491,0.0297,112.114,0.435,74.0
Year Of The Cat,Al Stewart,1977,71.0,60.0,36.0,55.0,63.0,77.0,83.0,127.0,78.0,79.0,198.0,169.0,241.0,358.0,380.0,414.0,448.0,440.0,415.0,600.0,656.0,Year of the Cat,Al Stewart,spotify:track:7MTX3vevnm41xuEoPxWT3j,spotify:artist:0DW7boyjvbaSP3OJ72sXgC,spotify:album:2JxEUrs4GzHQdkV6qQayz5,0.016,0.54,0.634,0.0098,0.118,-9.165,0.0346,116.461,0.546,52.0
In The Air Tonight,Phil Collins,1981,72.0,127.0,81.0,81.0,56.0,75.0,106.0,102.0,143.0,95.0,109.0,113.0,115.0,102.0,106.0,97.0,87.0,54.0,48.0,41.0,48.0,In The Air Tonight - 2015 Remastered,Phil Collins,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,spotify:album:1cM3r0WQZWNkCpEbmFjLln,0.551,0.446,0.239,4.1e-06,0.0697,-13.945,0.0316,189.507,0.298,75.0
De Vlieger,André Hazes,1977,73.0,,60.0,82.0,78.0,51.0,69.0,87.0,67.0,70.0,196.0,159.0,234.0,220.0,333.0,406.0,395.0,405.0,379.0,344.0,298.0,De Vlieger,Andre Hazes,spotify:track:6TMKJlY7W1D6WHQaJ7BsDJ,spotify:artist:04MtOUkmIDC4LAxDDBjrOY,spotify:album:3RpvBkfVDsttcBQI1IrsNd,0.0334,0.4,0.658,0.0,0.234,-7.022,0.032,105.148,0.387,25.0
Last Christmas,Wham,1984,74.0,139.0,263.0,292.0,447.0,286.0,467.0,358.0,437.0,359.0,416.0,443.0,631.0,930.0,743.0,628.0,547.0,530.0,366.0,484.0,,Last Christmas,Wham!,spotify:track:2FRnf9qhLbvw8fu4IBXx78,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,spotify:album:6egzU9NKfora01qaNbvwfZ,0.189,0.735,0.478,2.48e-06,0.355,-12.472,0.0293,107.682,0.947,69.0
I Still Haven't Found What I'm Looking For,U2,1987,75.0,,97.0,88.0,118.0,111.0,92.0,72.0,73.0,84.0,102.0,107.0,102.0,121.0,116.0,124.0,132.0,142.0,123.0,128.0,121.0,I Still Haven't Found What I'm Looking For,U2,spotify:track:6wpGqhRvJGNNXwWlPmkMyO,spotify:artist:51Blml2LZPmy7TTiAg47vQ,spotify:album:5y6wlw1LnqFnQFruMeiwGU,0.0135,0.564,0.774,0.00191,0.0861,-9.424,0.0368,100.894,0.657,75.0
The Day Before You Came,ABBA,1982,76.0,73.0,65.0,65.0,55.0,91.0,65.0,104.0,44.0,57.0,78.0,91.0,139.0,191.0,183.0,133.0,215.0,275.0,273.0,315.0,317.0,The Day Before You Came,ABBA,spotify:track:6W26h4KbGUnEaav5VWIyJm,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,spotify:album:5GByGaws7Cw0t28kjvAOzV,0.0498,0.801,0.388,0.00421,0.0525,-14.594,0.0354,108.071,0.736,49.0
Hey Joe,The Jimi Hendrix Experience,1967,77.0,105.0,182.0,163.0,167.0,151.0,174.0,196.0,220.0,170.0,179.0,204.0,161.0,203.0,215.0,343.0,360.0,428.0,437.0,366.0,446.0,Hey Joe,Jimi Hendrix,spotify:track:0NWPxcsf5vdjdiFUI8NgkP,spotify:artist:776Uo845nYHJpNaStv1Ds4,spotify:album:7rSZXXHHvIhF4yUFdaOCy9,0.00603,0.346,0.768,0.38,0.0244,-5.695,0.0377,169.492,0.532,69.0
We Are The Champions,Queen,1977,78.0,128.0,319.0,223.0,267.0,247.0,222.0,271.0,655.0,301.0,424.0,470.0,412.0,601.0,555.0,672.0,579.0,543.0,583.0,216.0,251.0,We Are The Champions - Remastered 2011,Queen,spotify:track:7ccI9cStQbQdystvc6TvxD,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,spotify:album:6Di4m5k1BtMJ0R44bWNutu,0.378,0.268,0.459,0.0,0.119,-6.948,0.0346,64.223,0.172,64.0
Money,Pink Floyd,1973,79.0,197.0,219.0,293.0,230.0,326.0,245.0,214.0,347.0,248.0,291.0,290.0,264.0,211.0,271.0,323.0,398.0,416.0,402.0,362.0,382.0,Money,Pink Floyd,spotify:track:0vFOzaXqZHahrZp6enQwQb,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,spotify:album:4LH4d3cOWNNsVw41Gqt2kv,0.0241,0.469,0.537,0.00201,0.269,-10.421,0.152,124.193,0.783,72.0
Pastorale,Ramses Shaffy & Liesbeth List,1969,80.0,119.0,58.0,40.0,51.0,43.0,33.0,24.0,51.0,40.0,6.0,21.0,27.0,46.0,42.0,47.0,71.0,69.0,86.0,106.0,73.0,Pastorale,Liesbeth List and Ramses Shaffy,spotify:track:43prrW2Xmg8zfDeq11UGnj,spotify:artist:2QVLyW3qXoSW3jMXXXwvpx,spotify:album:3ZJmhO7DBppSPKrNt3rTyQ,0.659,0.41,0.319,3.93e-05,0.132,-14.351,0.038,108.979,0.273,16.0
Thriller,Michael Jackson,1983,81.0,187.0,162.0,239.0,340.0,309.0,408.0,246.0,506.0,324.0,52.0,126.0,144.0,181.0,176.0,212.0,205.0,176.0,147.0,113.0,191.0,Billie Jean,Michael Jackson,spotify:track:5ChkMS8OtdzJeqyybCc9R5,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,spotify:album:1C2h7mLntPSeVYciMRTF4a,0.0236,0.92,0.654,0.0158,0.0359,-3.051,0.0401,117.046,0.847,79.0
Somebody To Love,Queen,1976,82.0,65.0,88.0,74.0,104.0,119.0,126.0,129.0,150.0,122.0,134.0,116.0,104.0,87.0,91.0,81.0,65.0,58.0,66.0,33.0,42.0,Somebody To Love - 2011 Mix,Queen,spotify:track:6cFZ4PLC19taNlpl9pbGMf,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,spotify:album:0lmQ6rAGcChLjGXM52Qu3i,0.19,0.497,0.693,0.0,0.215,-7.024,0.0565,111.539,0.358,68.0
A Day In The Life,The Beatles,1967,83.0,66.0,87.0,98.0,122.0,127.0,107.0,76.0,49.0,75.0,71.0,75.0,78.0,82.0,126.0,148.0,167.0,241.0,165.0,247.0,330.0,A Day In The Life - The Last Chord,The Beatles,spotify:track:7G56y9gzIayhvmTqdlThXz,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,spotify:album:1ntNLgaYCFCkeW4flGYlY2,0.911,0.438,0.0124,6.71e-05,0.11,-23.34,0.0516,71.937,0.137,24.0
With A Little Help From My Friends,Joe Cocker,1968,84.0,287.0,148.0,169.0,238.0,159.0,180.0,179.0,335.0,193.0,233.0,225.0,201.0,338.0,311.0,364.0,220.0,299.0,286.0,348.0,297.0,With A Little Help From My Friends,Joe Cocker,spotify:track:0YZ3J8xzGwLOg4yEgST1YK,spotify:artist:3pFCERyEiP5xeN2EsPXhjI,spotify:album:74sIm8QdXqFwYeDS7OfYVw,0.288,0.307,0.43,0.000994,0.0988,-11.333,0.0629,145.224,0.305,67.0
I Want To Break Free,Queen,1984,85.0,123.0,177.0,108.0,121.0,108.0,129.0,121.0,172.0,130.0,183.0,195.0,126.0,231.0,235.0,219.0,219.0,224.0,265.0,118.0,145.0,I Want To Break Free - Remastered 2011,Queen,spotify:track:7h2yhVxcZOGyQdOwD4Hu8J,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,spotify:album:7oHaj9jkWHByziQsqGAb8V,0.0853,0.795,0.433,0.000284,0.0762,-8.927,0.0324,108.947,0.6,62.0
Total Eclipse Of The Heart,Bonnie Tyler,1983,86.0,133.0,142.0,124.0,215.0,208.0,264.0,352.0,316.0,245.0,486.0,478.0,503.0,629.0,579.0,645.0,664.0,647.0,619.0,480.0,481.0,Total Eclipse of the Heart,Bonnie Tyler,spotify:track:5prTs2HAw2G4idHZyeFp8o,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,spotify:album:1CuFf5IslmlCno7DAFjrt9,0.195,0.435,0.658,0.0,0.102,-8.179,0.0661,130.276,0.184,73.0
Nikita,Elton John,1985,87.0,143.0,181.0,368.0,396.0,289.0,410.0,346.0,359.0,335.0,669.0,506.0,737.0,1046.0,917.0,837.0,973.0,996.0,786.0,860.0,776.0,Nikita,Elton John,spotify:track:3G0ENKW9vzV0SuYKaWFflI,spotify:artist:3PhoLpVuITZKcymswpck5b,spotify:album:0xuxPr53iRlhWCu7QqHH24,0.123,0.632,0.656,0.000264,0.0735,-9.29,0.0277,86.605,0.752,67.0
Roxanne,The Police,1979,88.0,186.0,217.0,221.0,309.0,232.0,391.0,363.0,341.0,303.0,249.0,207.0,210.0,219.0,201.0,287.0,299.0,233.0,228.0,187.0,239.0,Roxanne,The Police,spotify:track:3EYOJ48Et32uATr9ZmLnAo,spotify:artist:5NGO30tJxFlKixkPSgXcFE,spotify:album:1H9g6j4Wwj6wh6p8YHVtkf,0.0384,0.618,0.748,4.1e-06,0.0473,-8.905,0.358,134.114,0.663,76.0
Careless Whisper,George Michael,1984,89.0,275.0,288.0,226.0,517.0,469.0,625.0,425.0,580.0,469.0,545.0,691.0,691.0,546.0,721.0,648.0,710.0,614.0,232.0,204.0,236.0,Careless Whisper,George Michael,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,spotify:artist:19ra5tSw0tWufvUp8GotLo,spotify:album:3coLNlyStg9h7f8CZ103Rl,0.128,0.574,0.629,0.0,0.271,-8.815,0.0363,153.119,0.786,74.0
Nothing Compares 2u,Sinead O'Connor,1990,90.0,115.0,200.0,216.0,126.0,172.0,247.0,224.0,343.0,203.0,254.0,269.0,300.0,348.0,364.0,327.0,394.0,361.0,323.0,282.0,289.0,Nothing Compares 2U (Originally Performed By Sinead O'Connor) [Full Vocal Version],Paris Music,spotify:track:6xGtnKOUUfmoBchjLAxbif,spotify:artist:7iFUYe1KDzmMGlvCSbL6nw,spotify:album:41IvXNM4hRvZADNVbZAxP2,0.0105,0.602,0.339,0.000415,0.112,-10.128,0.0265,120.031,0.13,22.0
Wonderful Tonight,Eric Clapton,1988,91.0,214.0,116.0,156.0,180.0,150.0,124.0,153.0,191.0,146.0,251.0,239.0,274.0,349.0,321.0,325.0,361.0,392.0,383.0,455.0,,Wonderful Tonight,Eric Clapton,spotify:track:6zC0mpGYwbNTpk9SKwh08f,spotify:artist:6PAt558ZEZl0DmdXlnjMgD,spotify:album:5MAL7e4EnKXW1hFg6NbFqP,0.649,0.572,0.214,0.129,0.125,-15.625,0.0293,95.542,0.485,72.0
Woman In Love,Barbra Streisand,1980,92.0,157.0,176.0,196.0,193.0,219.0,173.0,229.0,156.0,176.0,246.0,242.0,453.0,755.0,661.0,536.0,672.0,630.0,542.0,842.0,1115.0,Woman in Love,Barbra Streisand,spotify:track:1pTGc8pwyo6xtgXBKCBcFn,spotify:artist:7jmTilWYlKOuavFfmQAcu6,spotify:album:5mMebbufullX8FIhpCxwCt,0.248,0.469,0.278,0.000126,0.133,-16.311,0.028,169.735,0.331,66.0
Mama,Genesis,1983,93.0,107.0,93.0,102.0,113.0,143.0,148.0,177.0,232.0,150.0,163.0,188.0,211.0,227.0,231.0,215.0,233.0,225.0,175.0,342.0,334.0,Mama - 2007 Remaster,Genesis,spotify:track:6kIwzLSiQU51taaaZ9zWSE,spotify:artist:3CkvROUTQ6nRi9yQOcsB50,spotify:album:6BX8AS7J97PSQNrteX325Z,0.383,0.565,0.884,0.208,0.38,-8.633,0.0618,82.914,0.67,44.0
Blowin' In The Wind,Bob Dylan,1963,94.0,147.0,179.0,195.0,211.0,194.0,205.0,188.0,168.0,173.0,210.0,199.0,262.0,317.0,331.0,488.0,412.0,417.0,549.0,605.0,653.0,Blowin' in the Wind,Bob Dylan,spotify:track:18GiV1BaXzPVYpp9rmOg0E,spotify:artist:74ASZWbe4lXaubB36ztrGX,spotify:album:0o1uFxZ1VTviqvNaYkTJek,0.914,0.38,0.0993,2.32e-05,0.0605,-20.567,0.0509,174.874,0.44,67.0
Dust In The Wind,Kansas,1978,95.0,183.0,338.0,161.0,127.0,227.0,210.0,221.0,254.0,197.0,311.0,375.0,330.0,250.0,219.0,224.0,213.0,235.0,214.0,263.0,275.0,Dust in the Wind,Kansas,spotify:track:6zeE5tKyr8Nu882DQhhSQI,spotify:artist:2hl0xAkS2AIRAu23TVMBG1,spotify:album:6oU298pdPTCQnMx1PYwyUA,0.367,0.475,0.322,0.00056,0.11,-10.687,0.0283,93.503,0.387,76.0
Eternal Flame,The Bangles,1989,96.0,138.0,104.0,199.0,244.0,205.0,334.0,440.0,383.0,295.0,431.0,427.0,546.0,835.0,814.0,666.0,774.0,662.0,775.0,1120.0,1300.0,Eternal Flame,The Bangles,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,spotify:artist:51l0uqRxGaczYr4271pVIC,spotify:album:4yaX6Gmlvo42PnGgBdhzGf,0.525,0.526,0.358,0.0,0.0942,-7.239,0.0243,78.988,0.4,69.0
Strawberry Fields Forever,The Beatles,1967,97.0,131.0,180.0,214.0,207.0,259.0,261.0,187.0,183.0,189.0,204.0,247.0,271.0,308.0,301.0,395.0,322.0,387.0,505.0,587.0,548.0,Strawberry Fields Forever - Remastered 2009,The Beatles,spotify:track:3Am0IbOxmvlSXro7N5iSfZ,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,spotify:album:2BtE7qm1qzM80p9vLSiXkj,0.336,0.39,0.502,0.000138,0.0713,-12.277,0.178,97.871,0.289,68.0
Against All Odds (Take A Look At Me Now),Phil Collins,1984,98.0,152.0,132.0,153.0,159.0,170.0,238.0,230.0,395.0,215.0,274.0,308.0,394.0,240.0,307.0,370.0,393.0,352.0,282.0,320.0,269.0,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,spotify:track:63CHa6rmamv9OsehkRD8oz,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,spotify:album:7yZHLfxqiGPbSQLrVJljah,0.198,0.58,0.498,0.0,0.132,-6.901,0.0277,116.271,0.111,73.0
Every Breath You Take,The Police,1983,99.0,166.0,167.0,184.0,259.0,284.0,434.0,403.0,412.0,340.0,381.0,351.0,345.0,356.0,210.0,330.0,386.0,318.0,290.0,286.0,311.0,Every Breath You Take - The Police,Eklipse,spotify:track:1eLVxR8669LxqHqUIE2leh,spotify:artist:6kART38d9tWb1yOcSO40YH,spotify:album:3duk4PVA7r012ysSojmnXv,0.963,0.624,0.201,0.645,0.12,-10.535,0.0426,119.966,0.43,22.0
Eloise,Barry Ryan,1968,100.0,97.0,83.0,117.0,108.0,141.0,127.0,145.0,70.0,110.0,258.0,261.0,365.0,410.0,553.0,566.0,707.0,805.0,851.0,1134.0,1124.0,Eloise,Barry Ryan,spotify:track:1svB1gR5yFsNgoBxRevt3n,spotify:artist:5JJxBX97vBHW7KMsBqIJre,spotify:album:6C5rraLFlxDlN9c7uyWqB4,0.43,0.426,0.609,0.0,0.127,-10.782,0.0327,131.865,0.47,40.0
Waterloo,ABBA,1974,101.0,182.0,467.0,607.0,605.0,512.0,299.0,546.0,419.0,452.0,701.0,728.0,918.0,783.0,836.0,890.0,772.0,742.0,660.0,413.0,438.0,Waterloo,ABBA,spotify:track:0RzhMHIsFMbOGh0oWDvNNK,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,spotify:album:1WAlaVMaCstzAQ1Y5i0VeX,0.423,0.441,0.926,3.38e-06,0.235,-4.736,0.046,147.564,0.779,57.0
Verdronken Vlinder,Boudewijn De Groot,1966,102.0,95.0,95.0,72.0,47.0,65.0,51.0,62.0,63.0,55.0,105.0,109.0,153.0,238.0,232.0,251.0,298.0,300.0,360.0,398.0,,Verdronken Vlinder,Boudewijn de Groot,spotify:track:1IODGOhu2nUD36SR1SRSFT,spotify:artist:3h6rezLYXc5QU08SCKZtyO,spotify:album:7uvPwz44qCtpVTXUyYpiJr,0.572,0.331,0.544,0.0105,0.212,-9.259,0.0359,127.982,0.815,27.0
Jeanny,Falco,1985,103.0,58.0,67.0,70.0,94.0,101.0,143.0,141.0,207.0,133.0,188.0,182.0,169.0,165.0,193.0,132.0,153.0,107.0,102.0,131.0,,Jeanny,Falco,spotify:track:6a0lr0jt8lKDJhsAYA49NS,spotify:artist:0hLd40hVpRDGENe4KGZLnW,spotify:album:4shdkbv0jIstZhSrpMR9wh,0.451,0.648,0.66,0.0,0.189,-10.455,0.0454,105.913,0.452,56.0
If You Leave Me Now,Chicago,1976,104.0,103.0,103.0,119.0,218.0,165.0,214.0,250.0,222.0,194.0,288.0,252.0,383.0,634.0,677.0,627.0,716.0,550.0,597.0,806.0,858.0,If You Leave Me Now,Chicago,spotify:track:0KMGxYKeUzK9wc5DZCt3HT,spotify:artist:3iDD7bnsjL9J4fO298r0L0,spotify:album:4asBn7hzIq2Ka7rDzJN24P,0.0193,0.429,0.564,0.000828,0.128,-6.784,0.0268,104.212,0.276,73.0
32 Jaar (Sinds 1 Dag Of 2),Doe Maar,1981,105.0,203.0,367.0,366.0,338.0,363.0,424.0,449.0,450.0,395.0,509.0,566.0,439.0,172.0,531.0,678.0,584.0,605.0,626.0,461.0,,Sinds 1 Dag Of 2 (32 Jaar),Doe Maar,spotify:track:3IbkWFHKCQp1Y7oLjeQgGv,spotify:artist:58hFVpwYRp8sQdtANcMpiE,spotify:album:2B9dyhwM3qcaQZJc1xKnXu,0.283,0.884,0.599,0.00396,0.137,-10.892,0.0449,113.743,0.963,51.0
"Non, Je Ne Regrette Rien",Edith Piaf,1961,106.0,234.0,403.0,507.0,312.0,313.0,309.0,236.0,158.0,224.0,277.0,328.0,263.0,413.0,363.0,427.0,460.0,622.0,582.0,577.0,,"Non, je ne regrette rien",Édith Piaf,spotify:track:3dkIE8P7hvl3tHl9KSb6dA,spotify:artist:1WPcVNert9hn7mHsPKDn7j,spotify:album:2k3nz0I7mJzegtkooii4za,0.858,0.385,0.354,3.11e-06,0.168,-6.595,0.029,87.061,0.437,62.0
All Along The Watchtower,The Jimi Hendrix Experience,1968,107.0,130.0,242.0,146.0,146.0,136.0,162.0,158.0,147.0,142.0,120.0,138.0,131.0,123.0,97.0,156.0,160.0,179.0,179.0,137.0,195.0,All Along the Watchtower,Jimi Hendrix,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,spotify:artist:776Uo845nYHJpNaStv1Ds4,spotify:album:5z090LQztiqh13wYspQvKQ,0.00255,0.438,0.805,5.69e-05,0.0842,-6.237,0.0624,113.253,0.564,75.0
